Date,Direct,Regular,,
21-02-2024,74.3969,68.9368,,
20-02-2024,75.0243,69.5196,,
19-02-2024,74.8544,69.3635,,
16-2-2024,74.8005,69.3179,,
15-2-2024,74.7137,69.2389,,
14-2-2024,74.365,68.9171,,
13-2-2024,73.7502,68.3488,,
12-2-2024,73.4745,68.0946,,
9-2-2024,74.2799,68.8453,,
8-2-2024,74.1961,68.769,,
7-2-2024,74.3294,68.894,,
6-2-2024,74.0825,68.6664,,
5-2-2024,73.6952,68.3088,,
2-2-2024,73.7564,68.3697,,
1-2-2024,72.5346,67.2385,,
31-1-2024,71.9746,66.7209,,
30-01-2024,71.7106,66.4775,,
29-01-2024,72.1704,66.905,,
25-01-2024,71.2065,66.0168,,
24-01-2024,71.391,66.1892,,
23-01-2024,70.4662,65.3332,,
19-01-2024,71.315,66.1255,,
18-01-2024,70.3466,65.2289,,
17-1-2024,70.5289,65.3992,,
16-1-2024,71.6219,66.4141,,
15-1-2024,71.8577,66.6342,,
12-1-2024,71.2789,66.1014,,
11-1-2024,71.0366,65.8781,,
10-1-2024,70.7891,65.6499,,
9-1-2024,70.5527,65.432,,
8-1-2024,70.3416,65.2376,,
5-1-2024,70.4903,65.3794,,
4-1-2024,70.4573,65.3502,,
3-1-2024,70.2262,65.1372,,
2-1-2024,70.3278,65.2327,,
1-1-2024,70.4621,65.3586,,
29-12-2023,70.2435,65.1598,,
28-12-2023,70.3524,65.2621,,
27-12-2023,70.0497,64.9827,,
26-12-2023,69.8354,64.7852,,
22-12-2023,69.6049,64.5766,,
21-12-2023,69.2775,64.2742,,
20-12-2023,68.9027,63.9277,,
19-12-2023,69.8439,64.8023,,
18-12-2023,69.6142,64.5905,,
15-12-2023,69.5862,64.5685,,
14-12-2023,69.4422,64.4362,,
13-12-2023,69.1475,64.1641,,
12-12-2023,68.7156,63.7646,,
11-12-2023,68.7782,63.824,,
08-12-2023,68.9547,63.9917,,
07-12-2023,68.9912,64.0269,,
06-12-2023,68.3887,63.469,,
05-12-2023,68.3237,63.41,,
04-12-2023,67.9811,63.0933,,
01-12-2023,67.1793,62.353,,
30-11-2023,67.0067,62.194,,
29-11-2023,66.9516,62.1441,,
28-11-2023,66.6512,61.8665,,
24-11-2023,66.3522,61.594,,
23-11-2023,66.3622,61.6046,,
22-11-2023,66.2382,61.4907,,
21-11-2023,66.0704,61.3362,,
20-11-2023,66.0121,61.2833,,
17-11-2023,66.0247,61.2987,,
16-11-2023,66.0779,61.3494,,
15-11-2023,65.9372,61.22,,
13-11-2023,65.387,60.7116,,
10-11-2023,64.9027,60.2656,,
09-11-2023,64.4416,59.8387,,
08-11-2023,64.4866,59.8817,,
07-11-2023,64.2861,59.6967,,
06-11-2023,64.0403,59.4696,,
03-11-2023,63.5111,58.9819,,
02-11-2023,63.0959,58.5975,,
01-11-2023,62.7192,58.2488,,
31-10-2023,62.8072,58.3317,,
30-10-2023,62.7132,58.2455,,
27-10-2023,62.3608,57.9218,,
26-10-2023,61.5627,57.1817,,
25-10-2023,62.2623,57.8327,,
23-10-2023,62.8266,58.3592,,
20-10-2023,63.2921,58.7952,,
19-10-2023,63.6554,59.1338,,
18-10-2023,63.8014,59.2707,,
17-10-2023,64.2079,59.6496,,
16-10-2023,63.8978,59.3627,,
13-10-2023,63.5264,59.0213,,
12-10-2023,63.6946,59.1787,,
11-10-2023,63.5284,59.0255,,
10-10-2023,63.1718,58.6953,,
09-10-2023,62.5967,58.1622,,
06-10-2023,62.7456,58.3041,,
05-10-2023,62.2562,57.8505,,
04-10-2023,62.1734,57.7747,,
03-10-2023,62.4944,58.0742,,
29-09-2023,62.8402,58.4003,,
27-09-2023,62.7658,58.3336,,
26-09-2023,62.5158,58.1024,,
25-09-2023,62.7359,58.3081,,
22-09-2023,62.5902,58.1763,,
21-09-2023,62.7308,58.3081,,
20-09-2023,63.3339,58.8698,,
18-09-2023,63.8768,59.3769,,
15-09-2023,63.7866,59.2966,,
14-09-2023,63.8545,59.3609,,
13-09-2023,63.5877,59.1141,,
12-09-2023,63.2095,58.7637,,
11-09-2023,63.7631,59.2795,,
08-09-2023,63.0884,58.6558,,
07-09-2023,62.8153,58.4031,,
06-09-2023,62.3722,57.9923,,
05-09-2023,62.4303,58.0475,,
04-09-2023,62.1717,57.8082,,
01-09-2023,61.8175,57.4824,,
